ID,vnumber,pnumber,key,latitude,longitude,trafid1,trafid2,MaxPrice,AvgPrice
1,1,1,7.16E+16,38.80890278,-83.10251389,SR-73,.,12018,8755
3,1,1,1.51E+18,39.76360833,-84.21509444,BROADWAY ST,EDGEWOOD AVE,8782,7428
5,1,1,7.30E+16,40.779575,-82.42028611,US-30,.,49999,37263
6,1,1,7.12E+16,40.50534444,-83.07980278,US-23,.,3000,3000
8,1,1,2.06E+18,40.36752778,-81.24140556,US-250,.,57800,47334
11,1,1,1.41E+19,41.24920833,-84.39959167,SR-111,.,6490,4230
12,1,1,1.62E+19,39.86236944,-82.11183056,US-22,.,3600,3600
14,1,1,1.74E+19,40.91507222,-81.98177222,SR-83 BURBANK RD,.,91862,53335
20,2,1,1.00E+19,40.81323611,-82.85569167,SR-602,CR-330 LINCOLN HIGHWAY RD,9995,9995
22,1,1,2.26E+20,39.17330278,-84.46751111,READING RD,.,9000,9000
23,1,1,2.32E+19,41.21139722,-80.95687778,SR-5,.,21994,15481
27,1,1,1.87E+18,39.95360278,-82.95894444,I-70,KELTON AVE,87600,87600
31,2,1,1.00E+21,40.33455556,-84.57116667,US-127,.,22500,22500
36,2,1,1.02E+18,41.33418889,-81.22152222,SR-44,.,13820,10640
38,1,1,1.65E+19,41.01765278,-81.41390278,CANTON RD.,.,18540,11805
40,1,1,7.31E+17,40.33112778,-83.68136389,US-33,.,3000,3000
41,1,1,1.34E+20,39.960125,-81.17520278,SR-800,.,60995,58793
45,1,1,8.89E+19,41.29708889,-81.68446389,SR-176,.,3999,3450
46,1,1,1.06E+19,39.90816389,-84.049275,US-40,.,10500,6615
47,1,1,1.00E+21,40.39877222,-82.53266389,SR-229,.,26980,18310
48,1,1,7.54E+16,39.50761667,-83.55196944,US-22,.,102998,98849
50,1,1,1.33E+20,41.10367222,-80.58561667,CR-516 JACOBS RD.,.,13996,11354
52,1,1,1.93E+20,39.2147,-84.09759444,TR-196 SHILOH RD.,.,2000,2000
53,1,1,2.13E+17,38.46048056,-82.59466667,US-52,.,12998,10864
55,2,1,1.82E+20,39.38277778,-84.24966389,CR-15 COLUMBIA RD,.,23995,19079
56,1,1,8.89E+18,40.17274722,-82.32369167,TR-235 STRALEY RD.,.,17995,13773
57,1,1,2.22E+16,40.03253889,-82.97790556,KARL RD.,.,15500,7026
58,1,1,1.82E+19,40.43390833,-83.07259167,US-23,SR-229,23635,16822
61,1,1,4.84E+14,41.67703056,-83.57249167,I-75,.,14000,11792
65,1,1,2.29E+18,39.7407,-84.1747,STEWART ST,.,13996,11354
68,2,1,1.33E+20,41.73857778,-81.04796389,SR-528 S MADISON RD,.,7995,4680
69,1,1,8.36E+17,40.82780556,-83.88034722,US-30,HANCOCK RD,95490,91557
71,1,1,2.26E+20,41.48523889,-81.81746111,US-6A,.,6995,6047
73,1,1,1.45E+20,40.41624167,-81.50006111,CR-24,.,9414,5520
74,1,1,2.25E+20,41.42445,-82.04006111,STONEY RIDGE RD,.,12998,9491
75,1,1,2.06E+20,39.781,-84.2077,SR-48 N MAIN ST,SANTA CLARA AVE,19292,12025
77,2,1,7.57E+16,39.15345833,-83.65884444,US-62,.,31500,31500
78,1,1,6.46E+15,41.45818333,-81.69638333,I-71,.,19750,12255
83,1,1,1.03E+20,39.13900833,-84.63283333,WESTBOURNE DR,.,4500,4500
84,1,1,2.33E+20,39.91628056,-82.89398889,REFUGEE RD,.,33375,24492
89,1,1,4.54E+16,40.37344444,-80.61370833,UNIVERSITY BLV,SEVENTH ST.,19996,14866
92,2,1,1.63E+20,39.8882,-84.02268333,BEACH DR.,.,7991,4883
93,1,1,1.05E+20,39.15003333,-84.59960833,HARRISON AVE.,EPWORTH AVE.,46982,25819
94,1,1,2.41E+17,41.08118889,-82.96823889,US-224,.,42000,42000
99,1,1,1.12E+20,41.09957778,-80.79355833,CR-18 MAHONING AVE,.,57990,57990
103,1,1,5.75E+15,41.67359167,-83.73445278,US-20,.,37000,29474
