Latitude,Longitude,AvgPrice
38.04325,-84.484758,150000
38.287430,-84.855911,3207
38.410975,-82.537505,7411
38.412330,-82.531302,6798
38.416688,-82.511494,5177
38.417255,-82.510519,8902
38.422080,-82.486247,25000
38.423366,-82.506669,13822
38.428047,-82.456063,3932
38.432608,-82.464497,25000
38.433880,-82.477919,3000
38.438116,-82.380813,4447
38.443169,-82.376422,36380
38.443186,-82.376172,8990
38.443255,-82.501969,11420
38.443333,-82.37765,3500
38.445116,-82.381277,6877
38.447597,-82.470263,5375
38.452605,-82.594569,5990
38.458605,-82.346663,4000
38.460480,-82.594666,10864
38.469119,-82.602388,3946
38.469166,-82.602277,2000
38.48045,-82.622513,17752
38.486513,-82.388266,48381
38.487030,-82.559244,2942
38.501261,-82.308375,6693
38.501947,-82.393580,23000
38.507138,-82.392397,2047
38.507188,-82.392461,11590
38.518283,-82.6642,15900
38.519538,-82.331730,25000
38.522469,-82.307411,15799
38.524363,-82.677061,14514
38.524588,-82.391805,17752
38.534797,-82.676163,11393
38.5386,-82.550091,2190
38.540555,-82.680202,4608
38.548569,-82.616316,25000
38.548677,-82.616163,11172
38.554138,-82.607747,10013
38.55495,-82.606883,10813
38.555588,-82.451025,21793
38.557361,-82.666883,9707
38.560888,-82.294880,7313
38.562016,-82.637066,21077
38.570569,-82.6625,2959
38.571011,-82.379919,1690
38.57675,-82.637133,5202
38.583333,-82.69,4000
38.5924,-82.807877,2047
38.599461,-82.784438,11119
38.600558,-82.218616,11693
38.607138,-82.6484,28000
38.607980,-83.280830,1873
38.613961,-82.213088,2000
38.620080,-82.833997,3497
38.621988,-82.848030,1000
38.625711,-83.198430,9399
38.627636,-82.662113,14500
38.630791,-82.667927,6995
38.631511,-83.15305,18310
38.636730,-83.659841,7000
38.638580,-83.669808,2995
38.642686,-83.693933,6528
38.644816,-83.1392,8602
38.644825,-82.849658,5337
38.655375,-82.852894,2047
38.660213,-83.761438,8000
38.66115,-82.658369,10000
38.661427,-83.761458,41077
38.662230,-82.85465,3284
38.665319,-82.783205,4680
38.665452,-83.761691,45116
38.672038,-82.787275,17421
38.67215,-83.750333,7000
38.675994,-83.634194,11960
38.683611,-83.775833,23000
38.692255,-82.861205,11862
38.697780,-83.61945,5556
38.699211,-82.830316,6309
38.699461,-83.667313,5207
38.702430,-82.874311,22000
38.702486,-83.115102,3910
38.705561,-82.801630,2247
38.710205,-83.599786,5097
38.712830,-83.580580,15000
38.720341,-83.633680,22000
38.724730,-83.453138,3000
38.727161,-82.830152,1800
38.730391,-82.6323,5995
38.731130,-83.464533,4970
38.731497,-82.99735,2916
38.731869,-83.059569,2047
38.735833,-82.973888,2247
38.736719,-83.020902,41743
38.73705,-83.562938,21000
38.737886,-83.485586,3345
38.738702,-82.975252,16299
